------------------------------------
 Train MAE  Train Msg MAE  Train Belief MAE  Test MAE  Test Msg MAE  Test Belief MAE  Val MAE  Val Msg MAE  Val Belief MAE Epoch              Model
  0.508635       0.235705          0.272931  0.417719      0.200718         0.217001 0.426607     0.206750        0.219857     1               MPNN
  0.321587       0.156464          0.165123  0.344906      0.189680         0.155225 0.357561     0.194648        0.162913     2               MPNN
  0.255049       0.112771          0.142278  0.370160      0.211238         0.158922 0.380596     0.215620        0.164976     3               MPNN
  0.198999       0.086599          0.112400  0.386068      0.230261         0.155808 0.394721     0.232564        0.162157     4               MPNN
  0.166556       0.070357          0.096199  0.387859      0.234246         0.153613 0.400455     0.236747        0.163709     5               MPNN
  0.134861       0.055097          0.079764  0.332205      0.178841         0.153364 0.346597     0.184731        0.161866     6               MPNN
  0.109107       0.044827          0.064280  0.419567      0.236960         0.182607 0.429309     0.242245        0.187065     7               MPNN
  0.084819       0.034099          0.050720  0.367699      0.207403         0.160296 0.380202     0.213442        0.166760     8               MPNN
  0.077677       0.031004          0.046673  0.351375      0.199969         0.151406 0.366099     0.206307        0.159792     9               MPNN
  0.075997       0.030594          0.045403  0.346018      0.194420         0.151597 0.360054     0.199651        0.160403    10               MPNN
  0.067022       0.026905          0.040117  0.366906      0.205714         0.161192 0.385635     0.210804        0.174831    11               MPNN
  0.064927       0.025844          0.039083  0.337566      0.180165         0.157401 0.349721     0.186740        0.162981    12               MPNN
  0.062403       0.024751          0.037652  0.351873      0.199131         0.152742 0.367700     0.204290        0.163409    13               MPNN
  0.058352       0.022748          0.035605  0.343414      0.190780         0.152634 0.359237     0.197661        0.161576    14               MPNN
  0.060655       0.023518          0.037137  0.332461      0.179000         0.153462 0.347720     0.185954        0.161766    15               MPNN
  0.061986       0.023944          0.038041  0.331900      0.177147         0.154753 0.344267     0.183907        0.160360    16               MPNN
  0.059354       0.022667          0.036686  0.337212      0.185014         0.152198 0.351429     0.191780        0.159649    17               MPNN
  0.055521       0.021269          0.034251  0.339726      0.186564         0.153161 0.356406     0.192541        0.163866    18               MPNN
  0.055019       0.020823          0.034197  0.341893      0.188482         0.153412 0.355110     0.194885        0.160224    19               MPNN
  0.053072       0.019822          0.033250  0.343792      0.185263         0.158528 0.361958     0.191377        0.170581    20               MPNN
  0.052296       0.019398          0.032899  0.344115      0.188291         0.155824 0.358594     0.194554        0.164040    21               MPNN
  0.051058       0.019034          0.032024  0.376902      0.207169         0.169732 0.393815     0.212549        0.181266    22               MPNN
  0.051051       0.018964          0.032087  0.343043      0.187030         0.156012 0.361172     0.194192        0.166980    23               MPNN
  0.050452       0.018367          0.032085  0.341641      0.183235         0.158406 0.359983     0.190586        0.169396    24               MPNN
  0.050191       0.018244          0.031947  0.351607      0.200081         0.151526 0.366185     0.205999        0.160186    25               MPNN
  0.048698       0.017818          0.030880  0.337423      0.181226         0.156197 0.356060     0.187657        0.168403    26               MPNN
  0.058749       0.021613          0.037136  0.345910      0.189122         0.156788 0.355402     0.193075        0.162327    27               MPNN
  0.051112       0.018663          0.032449  0.343653      0.191087         0.152566 0.360054     0.196824        0.163230    28               MPNN
  0.048048       0.017402          0.030646  0.364026      0.196295         0.167731 0.381061     0.203123        0.177938    29               MPNN
  0.049831       0.018099          0.031733  0.342045      0.183039         0.159007 0.359686     0.190360        0.169326    30               MPNN
  0.046728       0.016702          0.030025  0.343249      0.184959         0.158289 0.355491     0.191456        0.164036    31               MPNN
  0.047317       0.017009          0.030308  0.371090      0.205354         0.165736 0.382653     0.211499        0.171154    32               MPNN
  0.047942       0.017223          0.030720  0.372755      0.196591         0.176164 0.389922     0.202774        0.187148    33               MPNN
  0.049661       0.017827          0.031834  0.364480      0.189084         0.175395 0.381790     0.195772        0.186018    34               MPNN
  0.045644       0.016274          0.029370  0.329755      0.177293         0.152462 0.347249     0.184581        0.162667    35               MPNN
  0.046666       0.016752          0.029914  0.342066      0.186256         0.155810 0.360290     0.192409        0.167881    36               MPNN
  0.047518       0.017249          0.030268  0.336082      0.179471         0.156611 0.354274     0.186893        0.167382    37               MPNN
  0.045468       0.016291          0.029177  0.340261      0.184829         0.155432 0.353372     0.191358        0.162013    38               MPNN
  0.046451       0.016629          0.029822  0.369289      0.194507         0.174782 0.386419     0.200335        0.186084    39               MPNN
  0.044981       0.016032          0.028949  0.357189      0.186229         0.170960 0.376075     0.193379        0.182696    40               MPNN
  0.044656       0.015957          0.028699  0.346427      0.189972         0.156455 0.358237     0.196178        0.162059    41               MPNN
  0.045836       0.016315          0.029521  0.358096      0.185425         0.172671 0.375194     0.192230        0.182963    42               MPNN
  0.044858       0.015986          0.028872  0.333405      0.178358         0.155047 0.352550     0.185598        0.166953    43               MPNN
  0.044833       0.015959          0.028875  0.330626      0.179104         0.151522 0.347366     0.186094        0.161272    44               MPNN
  0.044890       0.015944          0.028946  0.334059      0.178637         0.155422 0.353291     0.185923        0.167368    45               MPNN
  0.044195       0.015695          0.028500  0.342522      0.182193         0.160329 0.361043     0.189329        0.171714    46               MPNN
  0.044507       0.015983          0.028524  0.331021      0.176515         0.154506 0.343855     0.182955        0.160900    47               MPNN
  0.043895       0.015580          0.028316  0.327426      0.175911         0.151514 0.343263     0.182707        0.160556    48               MPNN
  0.044810       0.015951          0.028859  0.330295      0.176729         0.153566 0.347769     0.183534        0.164235    49               MPNN
  0.046353       0.016537          0.029816  0.338409      0.184256         0.154153 0.351577     0.190339        0.161237    50               MPNN
  0.045518       0.016318          0.029200  0.344864      0.184538         0.160326 0.363562     0.191976        0.171585    51               MPNN
  0.045045       0.016068          0.028976  0.334146      0.182056         0.152091 0.350299     0.189228        0.161071    52               MPNN
  0.044031       0.015571          0.028460  0.340216      0.178277         0.161938 0.359071     0.185718        0.173353    53               MPNN
  0.044428       0.015764          0.028664  0.341753      0.183484         0.158269 0.361244     0.190342        0.170902    54               MPNN
  0.045027       0.015878          0.029149  0.357749      0.187952         0.169797 0.377372     0.195133        0.182239    55               MPNN
  0.044283       0.015757          0.028525  0.385445      0.201245         0.184200 0.403002     0.207611        0.195391    56               MPNN
  0.045492       0.016147          0.029345  0.335008      0.177434         0.157574 0.353527     0.184902        0.168625    57               MPNN
  0.042773       0.015042          0.027731  0.331808      0.177827         0.153981 0.350766     0.185329        0.165437    58               MPNN
  0.044027       0.015481          0.028546  0.332399      0.178282         0.154117 0.345368     0.184531        0.160837    59               MPNN
  0.043402       0.015351          0.028051  0.331176      0.179572         0.151605 0.347885     0.186323        0.161562    60               MPNN
  0.042389       0.014951          0.027438  0.328222      0.176434         0.151787 0.345558     0.183396        0.162162    61               MPNN
  0.044295       0.015795          0.028499  0.358398      0.184992         0.173405 0.379352     0.192480        0.186872    62               MPNN
  0.044712       0.015815          0.028897  0.337690      0.183631         0.154059 0.351167     0.190152        0.161014    63               MPNN
  0.042869       0.015260          0.027609  0.344610      0.185272         0.159338 0.361596     0.192569        0.169027    64               MPNN
  0.042439       0.015011          0.027428  0.331869      0.179531         0.152338 0.346044     0.186000        0.160044    65               MPNN
  0.043012       0.015200          0.027812  0.349874      0.182610         0.167264 0.369719     0.190054        0.179665    66               MPNN
  0.043335       0.015327          0.028008  0.347331      0.181815         0.165516 0.367733     0.189274        0.178459    67               MPNN
  0.042758       0.015086          0.027672  0.331872      0.179550         0.152322 0.349801     0.186640        0.163162    68               MPNN
  0.043312       0.015326          0.027986  0.352905      0.182985         0.169921 0.372814     0.190431        0.182383    69               MPNN
  0.042673       0.014911          0.027761  0.347922      0.180461         0.167460 0.367110     0.187833        0.179277    70               MPNN
  0.042032       0.014703          0.027330  0.326803      0.174148         0.152655 0.345119     0.181366        0.163754    71               MPNN
  0.042478       0.014969          0.027508  0.336007      0.176946         0.159062 0.356167     0.184522        0.171645    72               MPNN
  0.042439       0.014877          0.027561  0.332857      0.178120         0.154736 0.351843     0.185147        0.166695    73               MPNN
